ID,text,target
SUAVK39Z,I feel that it was better I die and hurts,0
9JDAGUV3,Why do I get hallucinations?,0
419WR1LQ,I am stresseed due to lack of financial support in school,0
6UY7DX6Q,Why is life important?,0
FYC0FTFB,How could I be helped to go through the 0?,0
V6VSDJ5I,What are the effects of 0 to ones health,0
9736J4UE,Why is everything so hard to deal with in this life,0
AY8L479Y, I feel emotionally overwhelmed ,0
OSFJV5EC,How to manage taking 0?,0
U4SGUGGM,Is heaven open for us who smoke bhang?,0
JGBMEUC1,How to survive without money?,0
LM8GPR0X,How do i stop this? What do I do when life becomes unbearable?,0
EIF8Y8MX,"I was ever sad,alone and always on 0Now I know how to cope with negative aspects in my life",0
03TVUJ9J,"I feel empty,absent minded",0
CBMIYRK7,I experienced 0 in my studies,0
Y5MH83OX,I feel like am alone in this world,0
OHIWTBLA,I feel low and out of place and hurt,0
0LPO6TKU,What should i do to get out of 0?,0
WQG9NYO0,How can I stop using 0?,0
WYDRQKK9,"I feel hopeless, unworthy and useless …How do I cope with stress and frorge the past?",0
H6HGNIPM,Does mediataton help stop weed addiction?,0
JJFB80YG,"I feel bad because life difficulties, I also feel bad that I have no one to control",0
SI6LH9S9,What are the effects of smoking bhang?,0
P4T442GZ,"Sadness,hatredNow feeling is happiness",0
6T60B8ZM,"Feelings then were like everything was falling apart,Now things are in control",0
EL8WHB10,how do I cope with ta difficult situation?what will I d to avoid it?,0
K9DGPFW6,Deteriorating academic performance,0
46DPSGSJ,Effect of 0 both in the society and my body,0
AWTMRJ2C,How could i stop using bhang,0
Z38CHPES,How to avoid drug abuse?,0
NUJNN8HA,How will I stop? What addiction means.,0
O7SRICTV,I feel rejected and seriously hurt,0
TY6R8YBF, Is it right for depressed person to use 0,0
4DDQ2BRX,I just stopped taking 0 because i thought it was not good for me,0
CV11SA2H,How do I seek help from 0ism,0
NYZTVG5E,i am  very stressed,0
G5GF4H7P,Main challenges of 0 and their side effects to my health,0
ZB73RBET, feel confused and helpless and was pushed to the cornerFeeling kind of better,0
93G4A70N,How  does one avoid bad company?,0
X45W9Q0S,How to avoiod 0 in campus,0
ZBUCI1MA,Causes of 0 by youths,0
J9T35NVE,What are the effects of 0?,0
JP9NVFHD,"I feel very low,how do I overcome it?",0
ML2SKCYN,I feel painful and unwanted,0
MT04SPT2,What can I do to change the situation?,0
G4VUYDC1,What to do to resist the bad feeling?,0
5M88BU4L,"Too much classwork, and how do I cope ith many responsibilities",0
2ANINIO7,How can I stop being hurt,0
BXMHPTHE,"I am facing a lot of challenges in life financially, emotionally, psycologically and with no solutions…How can I safely look for solutions about 0 on google",0
459AWRKP,I always feel down,0
2ZH6D7O3,sad and lonely,0
9XPAAVP5,I feel I'm unworthy and wasted,0
8MPE9DNC,what are the best ways I can follow to stop using it,0
65WCW3PH,I think I can handle my drink,0
J4ES54MZ,I feel depressed because of relationship issueS,0
97VW5839,How can i stop taking 0,0
6T8HVMG3,what can I do to minimize my 0ism,0
0RFTD03Y,How to deal and overcome bad situation,0
KBYAYAJC,Effects of 0?,0
9WUGXUWF, I used my rent money in gambling,0
QKBV071K,Why do i exist?,0
BM946H9J,Will Prayer help me out of sucidal thoughts.,0
IBADW0FW,How can I get help?,0
5I2N159N,Who could be the reason for 0?,0
KTL0D91A,I do suffer 0 at times and i think the best way to avoid it is keeping myself busy,0
1JALYOEE,How to avoid 0,0
HD9XSQZD,Lonely and happiness,0
T65023SD,is there harm fo me when I take 0,0
YAKKXF3T,What is the  importance of 0?,0
PENYQE5S,I feel indescribable sadness,0
89FS5OH2,What are the common ways to reduce 0,0
HSAB9P4S,I feel so low,0
RI9SGXM0,Parental negletion causing  my 0,0
4B8XOMN7,Effects of 0 on my body health,0
NGK6ZM5H,I have a bad company of friends that influence me to smoke weed,0
TD9B0JK7,why is that I don’t succed in what I do,0
SCTJPCQ1,Is there self worth in life?,0
QDBMJA08, I have low self esteem ,0
YS9D64RF,How can I overcome being hurt,0
MKWX9595,How can i stop using weed,0
HIE8CSV7,I am downhearted. How can I overcome the feeling?,0
F6LTQ978,How to stop 0,0
P1R7AXPE,should I stop drinking 0,0
SCBE9RL5,How to overcome such an incident,0
27LQQZQ3,Side effects and problems associated with 0,0
KHJGZIB1,"I feel so irritated, why does this happen?",0
VPIOXWS8,What is the best way to withdraw from 0?,0
4HDJ2MLK,Feelings of anxiety and fear and feelings of inadequacy,0
